Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5342681,SA_0000001688,COUNTRY,TUR,EUR,Europe,YEAR,2016,SEX,SEX_FMLE,,,,,,,0.5 [0.1 - 0.8],0.4521,0.12452,0.83359,,2024-06-21T08:49:58Z,2016,2016-01-01,2016-12-31
5343660,SA_0000001688,REGION,EMR,,,YEAR,2016,SEX,SEX_BTSX,,,,,,,0.3 [0.2 - 0.6],0.32743,0.2088,0.55773,,2024-06-21T08:49:58Z,2016,2016-01-01,2016-12-31
5343840,SA_0000001688,COUNTRY,NOR,EUR,Europe,YEAR,2006,SEX,SEX_FMLE,,,,,,,3.4 [2.2 - 4.6],3.35725,2.20261,4.63148,,2024-06-21T08:49:58Z,2006,2006-01-01,2006-12-31
5344094,SA_0000001688,COUNTRY,TZA,AFR,Africa,YEAR,2011,SEX,SEX_MLE,,,,,,,20.1 [13.2 - 26.9],20.07774,13.17793,26.92725,,2024-06-21T08:49:58Z,2011,2011-01-01,2011-12-31
5345250,SA_0000001688,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2003,SEX,SEX_FMLE,,,,,,,0.2 [0.0 - 0.4],0.16885,0.00984,0.39586,,2024-06-21T08:49:58Z,2003,2003-01-01,2003-12-31
5346422,SA_0000001688,COUNTRY,TZA,AFR,Africa,YEAR,2000,SEX,SEX_BTSX,,,,,,,11.4 [7.6 - 15.5],11.43022,7.58462,15.49387,,2024-06-21T08:49:58Z,2000,2000-01-01,2000-12-31
5347898,SA_0000001688,COUNTRY,KAZ,EUR,Europe,YEAR,2010,SEX,SEX_MLE,,,,,,,7.5 [4.3 - 11.1],7.48397,4.31017,11.07112,,2024-06-21T08:49:58Z,2010,2010-01-01,2010-12-31
5347937,SA_0000001688,COUNTRY,MLT,EUR,Europe,YEAR,2009,SEX,SEX_FMLE,,,,,,,3.1 [1.9 - 4.4],3.08771,1.86628,4.41948,,2024-06-21T08:49:58Z,2009,2009-01-01,2009-12-31
5348372,SA_0000001688,COUNTRY,ATG,AMR,Americas,YEAR,2014,SEX,SEX_FMLE,,,,,,,3.1 [1.5 - 4.7],3.09251,1.49496,4.7421,,2024-06-21T08:49:58Z,2014,2014-01-01,2014-12-31
5348495,SA_0000001688,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2018,SEX,SEX_MLE,,,,,,,0.3 [0.0 - 1.2],0.31858,0,1.18644,,2024-06-21T08:49:58Z,2018,2018-01-01,2018-12-31
5348978,SA_0000001688,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2011,SEX,SEX_BTSX,,,,,,,0.0 [0.0 - 0.1],0.00439,0,0.07062,,2024-06-21T08:49:58Z,2011,2011-01-01,2011-12-31
5350745,SA_0000001688,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2006,SEX,SEX_MLE,,,,,,,3.3 [0.9 - 5.8],3.28765,0.93689,5.80432,,2024-06-21T08:49:58Z,2006,2006-01-01,2006-12-31
5351256,SA_0000001688,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2004,SEX,SEX_FMLE,,,,,,,0.2 [0.0 - 0.4],0.16785,0.00877,0.40298,,2024-06-21T08:49:58Z,2004,2004-01-01,2004-12-31
5352471,SA_0000001688,UNREGION,34,,,YEAR,2000,SEX,SEX_BTSX,,,,,,,1.5 [0.5-2.7],1.47936,0.46339,2.68067,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:21:52Z,2000,2000-01-01,2000-12-31
5352979,SA_0000001688,COUNTRY,VNM,WPR,Western Pacific,YEAR,2018,SEX,SEX_BTSX,,,,,,,9.3 [5.3 - 13.1],9.33984,5.34618,13.08545,,2024-06-21T08:49:58Z,2018,2018-01-01,2018-12-31
5353541,SA_0000001688,REGION,EMR,,,YEAR,2020,SEX,SEX_BTSX,,,,,,,0.2 [0.2 - 0.4],0.24658,0.17006,0.43605,Data is for 2020 only; it is not a three-year average.,2024-06-21T08:49:58Z,2020,2020-01-01,2020-12-31
5353877,SA_0000001688,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2009,SEX,SEX_FMLE,,,,,,,0.4 [0.1 - 0.7],0.3532,0.07012,0.68301,,2024-06-21T08:49:58Z,2009,2009-01-01,2009-12-31
